Change Physical Footprint: Designator=C1 Old Footprint=CP1/2 New Footprint=CP1/2
Change Physical Footprint: Designator=D1 Old Footprint=LED-3mm New Footprint=LED-3mm
Change Physical Footprint: Designator=D2 Old Footprint=LED-3mm New Footprint=LED-3mm
Change Physical Footprint: Designator=D3 Old Footprint=7-SEGMENT New Footprint=7-SEGMENT
Change Physical Footprint: Designator=D4 Old Footprint=7-SEGMENT New Footprint=7-SEGMENT
Change Physical Footprint: Designator=D5 Old Footprint=7-SEGMENT New Footprint=7-SEGMENT
Change Physical Footprint: Designator=D6 Old Footprint=7-SEGMENT New Footprint=7-SEGMENT
Change Physical Footprint: Designator=D7 Old Footprint=SS34 New Footprint=SS34
Change Physical Footprint: Designator=H1 Old Footprint=LO KHOAN 3MM New Footprint=LO KHOAN 3MM
Change Physical Footprint: Designator=H2 Old Footprint=LO KHOAN 3MM New Footprint=LO KHOAN 3MM
Change Physical Footprint: Designator=H3 Old Footprint=LO KHOAN 3MM New Footprint=LO KHOAN 3MM
Change Physical Footprint: Designator=H4 Old Footprint=LO KHOAN 3MM New Footprint=LO KHOAN 3MM
Change Physical Footprint: Designator=IC1 Old Footprint=DIP8/W0.3 New Footprint=DIP8/W0.3
Change Physical Footprint: Designator=JDC1 Old Footprint=DC-IN New Footprint=DC-IN
Change Physical Footprint: Designator=LOGO1 Old Footprint=PIF LOGO BIG TOP New Footprint=PIF LOGO BIG TOP
Change Physical Footprint: Designator=P1 Old Footprint=JP8 New Footprint=JP8
Change Physical Footprint: Designator=P2 Old Footprint=JP2 New Footprint=JP2
Change Physical Footprint: Designator=R1 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R2 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R3 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R4 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R5 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R6 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R7 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R8 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R9 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R10 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R11 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R12 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R13 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
Change Physical Footprint: Designator=R14 Old Footprint=RES-SM-0805 New Footprint=RES-SM-0805
